short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance,total_trades,profitable_trades
9,21,,,,,1440.1313778925266,8542,4271
9,26,,,,,1422.936159031614,7724,3862
9,30,,,,,1460.3354281265956,7268,3634
9,50,,,,,1562.0082896462743,5608,2804
9,100,,,,,1750.637785140938,3786,1893
12,21,,,,,1433.3462713106953,7440,3720
12,26,,,,,1451.9931992990482,6740,3370
12,30,,,,,1427.2762675647982,6316,3158
12,50,,,,,1698.4554768349021,4800,2400
12,100,,,,,1722.967214775606,3358,1679
15,21,,,,,1381.3408492092412,6682,3341
15,26,,,,,1426.701183508638,6094,3047
15,30,,,,,1532.06496135585,5644,2822
15,50,,,,,1851.128792813454,4332,2166
15,100,,,,,1722.8311250279419,2996,1498
20,21,,,,,1530.7626887906194,5858,2929
20,26,,,,,1669.2543855900253,5246,2623
20,30,,,,,1642.404313830074,4858,2429
20,50,,,,,1967.5473315717234,3720,1860
20,100,,,,,1845.2778531091749,2592,1296
